gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Cpeb7,217.55,-0.0143,0.3350,9.660e-01,9.962e-01
Ddx8,204.69,0.0141,0.3371,9.666e-01,9.962e-01
Agol1,208.37,-0.0137,0.3365,9.674e-01,9.962e-01
Zfp3,4024.72,-0.0118,0.3020,9.687e-01,9.962e-01
Gata12,215.14,0.0121,0.3354,9.713e-01,9.962e-01
Tdrdl1,5.02,0.0357,1.0271,9.723e-01,9.962e-01
Vasa3,203.57,0.0109,0.3373,9.743e-01,9.962e-01
Rps1a,519.07,0.0097,0.3152,9.755e-01,9.962e-01
Eif2,11923.41,-0.0086,0.3007,9.771e-01,9.962e-01
Rpl2b,34.12,0.0129,0.4815,9.786e-01,9.962e-01
Cpeb1a,137.63,0.0069,0.3538,9.844e-01,9.962e-01
Ythdc12,12882.02,-0.0056,0.3006,9.851e-01,9.962e-01
Zfp7,5.43,0.0170,0.9906,9.863e-01,9.962e-01
Hnrnp2b,8.42,0.0131,0.8155,9.872e-01,9.962e-01
Nanos9,1807.35,0.0036,0.3044,9.905e-01,9.962e-01
Ythdcl1,8.53,-0.0091,0.8108,9.910e-01,9.962e-01
Hox4,4.13,-0.0100,1.1231,9.929e-01,9.962e-01
Rbfox8,6.85,0.0068,0.8924,9.939e-01,9.962e-01
Hox10,11608.22,0.0013,0.3007,9.965e-01,9.965e-01
